TIMESTAMP;SPEED;ALTITUDE;TRIP;TEMPERATURE;FUEL;PERSONS
14/04/2024 16:06;0;105;RETURN;23;REPSOL;2
;4;;;;;
;8;;;;;
;3;106;;;;
;3;;;;;
;15;;;;;
;24;;;;;
;7;;;;;
;14;;;;;
;28;;;;;
;25;;;;;
;27;;;;;
;32;87;;;;
;46;;;;;
;46;;;;;
;59;69;;;;
;83;;;;;
;94;;;;;
;82;;;;;
;80;;;;;
;77;;;;;
;75;;;;;
;76;21;;;;
;86;;;;;
;79;;;;;
;74;23;;;;
;62;;;;;
;34;;;;;
;38;30;;;;
;32;;;;;
;33;;;;;
;24;;;;;
;27;45;;;;
;29;;;;;
;34;;;;;
;30;;;;;
;29;;;;;
;31;61;;;;
;26;;;;;
;45;91;;;;
;70;;;;;
;94;125;;;;
;110;;;;;
;115;70;;;;
;90;;;;;
;92;;;;;
;90;15;;;;
;83;;;;;
;78;;;;;
;68;;;;;
;34;;;;;
;32;;;;;
;45;;;;;
;56;;;;;
;69;;;;;
;97;;;;;
;110;;;;;
;118;10;;;;
;103;;;;;
;99;;;;;
;107;;;;;
;94;;;;;
;91;;;;;
;87;;;;;
;75;;;;;
;90;;;;;
;86;;;;;
;81;;;;;
;83;;;;;
;104;6;;;;
;89;;;;;
;78;5;;;;
;88;;;;;
;69;2;;;;
;82;;;;;
;73;;;;;
;75;7;;;;
;56;;;;;
;69;;;;;
;71;;;;;
;40;18;;;;
;23;;;;;
;24;;;;;
;10;;;;;
;0;19;;;;
;21;;;;;
;3;27;;;;
;20;;;;;
;35;;;;;
;25;;;;;
;26;;;;;
;0;;;;;
;8;;;;;
;9;;;;;
;7;;;;;
14/04/2024 16:59;0;33;;;;
19/04/2024 16:04;0;33;GO;23;REPSOL;1
;6;;;;;
;8;;;;;
;18;;;;;
;13;;;;;
;10;;;;;
;5;;;;;
;0;29;;;;
;3;;;;;
;15;;;;;
;22;;;;;
;21;;;;;
;14;;;;;
;6;;;;;
;2;;;;;
;15;;;;;
;32;;;;;
;35;;;;;
;40;;;;;
;48;;;;;
;38;;;;;
;27;;;;;
;20;;;;;
;3;30;;;;
;10;;;;;
;22;;;;;
;18;;;;;
;6;;;;;
;5;;;;;
;0;;;;;
;9;;;;;
;24;;;;;
;22;;;;;
;15;;;;;
;0;;;;;
;7;;;;;
;21;;;;;
;6;;;;;
;0;;;;;
;5;;;;;
;18;;;;;
;5;;;;;
;11;;;;;
;17;;;;;
;11;;;;;
;0;29;;;;
;6;;;;;
;20;;;;;
;23;;;;;
;19;;;;;
;2;;;;;
;0;;;;;
;4;;;;;
;19;;;;;
;33;;;;;
;36;;;;;
;41;;;;;
;38;;;;;
;31;;;;;
;15;;;;;
;0;;;;;
;10;;;;;
;21;;;;;
;24;;;;;
;16;;;;;
;24;;;;;
;20;;;;;
;13;;;;;
;6;;;;;
19/04/2024 16:18;0;30;;;;
19/04/2024 16:50;0;30;RETURN;23;REPSOL;1
;15;;;;;
;20;;;;;
;13;;;;;
;22;;;;;
;24;;;;;
;21;;;;;
;10;;;;;
;5;;;;;
;5;;;;;
;5;29;;;;
;0;;;;;
;9;;;;;
;26;;;;;
;33;;;;;
;26;;;;;
;38;;;;;
;36;;;;;
;43;;;;;
;37;;;;;
;35;;;;;
;33;;;;;
;29;;;;;
;30;30;;;;
;28;;;;;
;28;;;;;
;28;;;;;
;17;;;;;
;0;;;;;
;4;;;;;
;15;;;;;
;22;;;;;
;27;;;;;
;41;;;;;
;36;;;;;
;30;;;;;
;25;;;;;
;21;;;;;
;15;;;;;
;7;;;;;
;0;;;;;
;12;29;;;;
;23;;;;;
;26;;;;;
;30;;;;;
;32;;;;;
;25;;;;;
;17;;;;;
;12;;;;;
;6;;;;;
;0;;;;;
;16;;;;;
;72;;;;;
;12;;;;;
;3;;;;;
;2;;;;;
19/04/2024 16:57;0;33;;;;
