TIMESTAMP;SPEED;ALTITUDE;TRIP;TEMPERATURE;FUEL;PERSONS
21/04/2024 16:50;0;33;GO;22;REPSOL;1
;4;;;;;
;9;;;;;
;0;;;;;
;13;;;;;
;16;;;;;
;21;;;;;
;20;34;;;;
;15;;;;;
;16;;;;;
;23;;;;;
;27;;;;;
;34;;;;;
;30;25;;;;
;27;;;;;
;22;;;;;
;33;;;;;
;34;;;;;
;35;;;;;
;33;22;;;;
;26;;;;;
;16;;;;;
;6;;;;;
;0;;;;;
;6;;;;;
;10;;;;;
;20;;;;;
;26;21;;;;
;34;;;;;
;34;;;;;
;35;;;;;
;31;;;;;
;23;;;;;
;20;;;;;
;23;;;;;
;27;18;;;;
;29;;;;;
;29;;;;;
;34;;;;;
;35;;;;;
;34;;;;;
;38;;;;;
;34;;;;;
;31;14;;;;
;25;;;;;
;33;;;;;
;38;;;;;
;39;;;;;
;33;;;;;
;30;7;;;;
;26;;;;;
;32;;;;;
;31;;;;;
;28;;;;;
;26;;;;;
;16;7;;;;
;26;;;;;
;28;;;;;
;24;;;;;
;29;;;;;
;31;;;;;
;30;;;;;
;28;7;;;;
;24;;;;;
;19;;;;;
;16;;;;;
;14;;;;;
;8;;;;;
;4;;;;;
21/04/2024 16:57;0;6;;;;
21/04/2024 17:01;0;6;RETURN;22;V2;2
;2;;;;;
;15;;;;;
;10;;;;;
;22;;;;;
;18;;;;;
;25;;;;;
;27;;;;;
;33;7;;;;
;38;;;;;
;40;;;;;
;30;;;;;
;19;;;;;
;3;;;;;
;12;;;;;
;30;;;;;
;32;;;;;
;27;7;;;;
;44;;;;;
;40;;;;;
;36;;;;;
;29;;;;;
;26;;;;;
;10;;;;;
;0;;;;;
;14;14;;;;
;24;;;;;
;25;;;;;
;16;;;;;
;26;;;;;
;33;;;;;
;29;;;;;
;27;;;;;
;18;;;;;
;27;18;;;;
;48;;;;;
;58;;;;;
;65;;;;;
;70;;;;;
;70;;;;;
;78;;;;;
;67;;;;;
;49;;;;;
;35;;;;;
;19;22;;;;
;0;;;;;
;11;;;;;
;0;;;;;
;14;;;;;
;29;;;;;
;40;;;;;
;45;;;;;
;35;;;;;
;31;;;;;
;18;;;;;
;7;25;;;;
;0;;;;;
;17;;;;;
;33;;;;;
;43;;;;;
;41;;;;;
;36;;;;;
;33;;;;;
;29;;;;;
;20;;;;;
;4;;;;;
;0;;;;;
;8;;;;;
;17;;;;;
;25;;;;;
;30;34;;;;
;33;;;;;
;27;;;;;
;23;;;;;
;18;;;;;
;11;;;;;
;15;;;;;
;21;;;;;
;8;;;;;
;4;;;;;
;6;;;;;
21/04/2024 17:15;0;33;;;;
23/04/2024 17:39;0;33;GO;18;V2;1
;8;;;;;
;11;;;;;
;11;;;;;
;6;;;;;
;21;27;;;;
;5;;;;;
;0;;;;;
;3;;;;;
;25;;;;;
;17;;;;;
;11;;;;;
;27;;;;;
;20;20;;;;
;0;;;;;
;23;;;;;
;24;;;;;
;0;;;;;
;27;;;;;
;43;;;;;
;59;;;;;
;43;;;;;
;35;19;;;;
;7;;;;;
;0;2;;;;
;42;;;;;
;67;5;;;;
;87;;;;;
;89;;;;;
;83;;;;;
;66;;;;;
;80;;;;;
;79;;;;;
;101;5;;;;
;116;;;;;
;100;;;;;
;95;;;;;
;97;;;;;
;92;;;;;
;110;;;;;
;111;;;;;
;120;;;;;
;113;6;;;;
;112;;;;;
;103;;;;;
;128;15;;;;
;117;;;;;
;108;;;;;
;92;;;;;
;83;20;;;;
;95;;;;;
;102;;;;;
;106;;;;;
;103;45;;;;
;106;;;;;
;87;70;;;;
;94;;;;;
;83;125;;;;
;64;;;;;
;49;91;;;;
;40;;;;;
;27;61;;;;
;28;;;;;
;27;30;;;;
;31;;;;;
;34;;;;;
;33;23;;;;
;46;;;;;
;26;;;;;
;67;21;;;;
;91;;;;;
;93;;;;;
;84;;;;;
;84;35;;;;
;90;;;;;
;82;;;;;
;76;;;;;
;59;69;;;;
;42;;;;;
;26;;;;;
;16;87;;;;
;0;;;;;
;15;;;;;
;29;106;;;;
;26;;;;;
;10;;;;;
23/04/2024 18:32;0;105;;;;
25/04/2024 9:30;0;33;GO;20;V2;1
;4;;;;;
;14;;;;;
;19;;;;;
;17;;;;;
;12;;;;;
;14;;;;;
;17;;;;;
;6;;;;;
;8;;;;;
;0;;;;;
;14;;;;;
;17;;;;;
;18;30;;;;
;21;;;;;
;20;;;;;
;16;;;;;
;14;;;;;
;13;;;;;
