TIMESTAMP;SPEED;ALTITUDE;TRIP;TEMPERATURE;FUEL;PERSONS;COUNT_TRIPS
03/05/2024 16:45;0;7;RETURN;21;SHELL;1;1
;0;;;;;;
;10;;;;;;
;5;;;;;;
;23;;;;;;
;28;;;;;;
;30;;;;;;
;8;;;;;;
;9;7;;;;;
;2;;;;;;
;12;;;;;;
;5;;;;;;
;3;;;;;;
;4;;;;;;
;5;;;;;;
;4;;;;;;
;9;;;;;;
;3;7;;;;;
;9;;;;;;
;3;;;;;;
;0;;;;;;
;9;;;;;;
;5;;;;;;
;3;;;;;;
;6;;;;;;
;6;;;;;;
;5;;;;;;
;0;;;;;;
;6;8;;;;;
;2;;;;;;
;10;;;;;;
;14;;;;;;
;27;;;;;;
;30;;;;;;
;33;;;;;;
;40;;;;;;
;35;;;;;;
;31;;;;;;
;27;;;;;;
;18;;;;;;
;9;;;;;;
;26;8;;;;;
;29;;;;;;
;33;;;;;;
;38;;;;;;
;44;;;;;;
;41;;;;;;
;32;;;;;;
;26;;;;;;
;12;;;;;;
;0;8;;;;;
;12;;;;;;
;15;;;;;;
;27;;;;;;
;25;;;;;;
;24;;;;;;
;18;;;;;;
;15;;;;;;
;20;9;;;;;
;31;;;;;;
;42;;;;;;
;57;;;;;;
;66;;;;;;
;61;;;;;;
;59;;;;;;
;50;;;;;;
;45;;;;;;
;33;;;;;;
;27;;;;;;
;19;10;;;;;
;0;;;;;;
;14;;;;;;
;4;;;;;;
;0;;;;;;
;12;;;;;;
;29;;;;;;
;26;;;;;;
;15;;;;;;
;28;12;;;;;
;35;;;;;;
;14;;;;;;
;6;;;;;;
;0;;;;;;
;15;;;;;;
;32;;;;;;
;34;;;;;;
;23;14;;;;;
;21;;;;;;
;16;;;;;;
;10;;;;;;
;6;;;;;;
;13;;;;;;
;22;;;;;;
;29;;;;;;
;20;16;;;;;
;6;;;;;;
;0;;;;;;
;15;;;;;;
;22;;;;;;
;27;;;;;;
;25;;;;;;
;21;21;;;;;
;18;;;;;;
;10;;;;;;
;0;;;;;;
;16;;;;;;
;24;;;;;;
;18;30;;;;;
;15;;;;;;
;7;;;;;;
;4;;;;;;
;9;;;;;;
;2;;;;;;
03/05/2024 17:03;0;33;;;;;
04/05/2024 11:36;0;33;GO;20;SHELL;4;1
;2;;;;;;
;8;;;;;;
;17;;;;;;
;8;;;;;;
;18;;;;;;
;17;;;;;;
;19;;;;;;
;16;;;;;;
;0;;;;;;
;9;27;;;;;
;15;;;;;;
;15;;;;;;
;3;;;;;;
;0;;;;;;
;13;;;;;;
;16;;;;;;
;25;;;;;;
;21;;;;;;
;19;;;;;;
;7;;;;;;
;0;22;;;;;
;10;;;;;;
;17;;;;;;
;19;;;;;;
;5;20;;;;;
;22;;;;;;
;29;;;;;;
;27;;;;;;
;19;;;;;;
;14;;;;;;
;6;19;;;;;
;4;;;;;;
;7;;;;;;
;28;;;;;;
;29;;;;;;
;11;;;;;;
;22;;;;;;
;23;;;;;;
;21;;;;;;
;29;;;;;;
;24;;;;;;
;16;;;;;;
;0;17;;;;;
;7;;;;;;
;17;;;;;;
;30;;;;;;
;8;;;;;;
;13;;;;;;
;11;;;;;;
;9;14;;;;;
;2;;;;;;
;0;;;;;;
;8;;;;;;
;11;;;;;;
;0;;;;;;
;12;;;;;;
;14;;;;;;
;19;;;;;;
;13;8;;;;;
;23;;;;;;
;38;;;;;;
;32;;;;;;
;26;;;;;;
;15;;;;;;
;11;;;;;;
;7;;;;;;
;0;11;;;;;
;5;;;;;;
;11;;;;;;
;5;;;;;;
;15;;;;;;
;20;;;;;;
;25;;;;;;
;10;;;;;;
;24;9;;;;;
;23;;;;;;
;21;;;;;;
;29;;;;;;
;18;;;;;;
;23;;;;;;
;23;;;;;;
;11;;;;;;
;3;6;;;;;
;0;;;;;;
;5;;;;;;
;0;;;;;;
;13;;;;;;
;18;;;;;;
;28;;;;;;
;37;;;;;;
;40;;;;;;
;33;;;;;;
;23;;;;;;
;3;;;;;;
;2;7;;;;;
;11;;;;;;
;27;;;;;;
;38;;;;;;
;49;;;;;;
;58;23;;;;;
;62;;;;;;
;66;;;;;;
;72;;;;;;
;66;;;;;;
;55;38;;;;;
;55;;;;;;
;40;;;;;;
;32;;;;;;
;37;;;;;;
;60;;;;;;
;75;55;;;;;
;77;;;;;;
;79;;;;;;
;81;;;;;;
;93;;;;;;
;92;;;;;;
;82;;;;;;
;77;70;;;;;
;77;;;;;;
;83;;;;;;
;88;;;;;;
;84;;;;;;
;74;;;;;;
;73;;;;;;
;72;;;;;;
;70;;;;;;
;81;;;;;;
;88;;;;;;
;83;105;;;;;
;79;;;;;;
;85;;;;;;
;82;;;;;;
;88;;;;;;
;86;;;;;;
;80;;;;;;
;79;;;;;;
;83;;;;;;
;79;;;;;;
;75;;;;;;
;63;141;;;;;
;45;;;;;;
;24;;;;;;
;4;;;;;;
;2;;;;;;
;19;;;;;;
;28;;;;;;
;31;;;;;;
;20;;;;;;
;11;;;;;;
;13;;;;;;
;8;;;;;;
;15;;;;;;
;15;;;;;;
;10;;;;;;
;4;;;;;;
04/05/2024 12:20;0;177;;;;;
04/05/2024 14:08;0;177;RETURN;21;SHELL;4;2
;6;;;;;;
;6;;;;;;
;9;;;;;;
;12;;;;;;
;6;;;;;;
;0;166;;;;;
;18;;;;;;
;22;;;;;;
;23;;;;;;
;32;;;;;;
;31;;;;;;
;24;;;;;;
;22;;;;;;
;19;;;;;;
;30;;;;;;
;17;;;;;;
;20;;;;;;
;26;;;;;;
;34;;;;;;
;36;;;;;;
;44;141;;;;;
;53;;;;;;
;63;;;;;;
;71;;;;;;
;83;;;;;;
;86;;;;;;
;91;;;;;;
;89;;;;;;
;87;;;;;;
;92;;;;;;
;87;;;;;;
;86;105;;;;;
;84;;;;;;
;77;;;;;;
;75;;;;;;
;63;;;;;;
;59;;;;;;
;64;;;;;;
;74;;;;;;
;69;;;;;;
;64;;;;;;
;74;;;;;;
;80;;;;;;
;90;70;;;;;
;85;;;;;;
;82;;;;;;
;74;;;;;;
;76;;;;;;
;85;;;;;;
;87;;;;;;
;88;;;;;;
;86;;;;;;
;79;55;;;;;
;76;;;;;;
;78;;;;;;
;75;;;;;;
;85;;;;;;
;88;;;;;;
;96;;;;;;
;104;;;;;;
;96;38;;;;;
;88;;;;;;
;89;;;;;;
;79;;;;;;
;84;;;;;;
;86;;;;;;
;89;;;;;;
;86;;;;;;
;92;;;;;;
;89;23;;;;;
;99;;;;;;
;90;;;;;;
;87;;;;;;
;79;;;;;;
;78;;;;;;
;64;;;;;;
;46;;;;;;
;39;;;;;;
;19;6;;;;;
;30;;;;;;
;36;;;;;;
;47;;;;;;
;51;;;;;;
;64;;;;;;
;72;;;;;;
;74;;;;;;
;76;;;;;;
;68;9;;;;;
;62;;;;;;
;57;;;;;;
;47;;;;;;
;43;;;;;;
;40;;;;;;
;31;;;;;;
;30;;;;;;
;16;;;;;;
;10;;;;;;
;30;;;;;;
;41;;;;;;
;47;;;;;;
;41;11;;;;;
;37;;;;;;
;30;;;;;;
;26;;;;;;
;15;;;;;;
;8;;;;;;
;22;;;;;;
;25;;;;;;
;19;;;;;;
;37;8;;;;;
;47;;;;;;
;49;;;;;;
;58;;;;;;
;63;;;;;;
;59;;;;;;
;48;;;;;;
;38;;;;;;
;33;;;;;;
;19;;;;;;
;4;14;;;;;
;0;;;;;;
;7;;;;;;
;23;;;;;;
;24;;;;;;
;23;;;;;;
;32;;;;;;
;27;;;;;;
;18;;;;;;
;8;17;;;;;
;21;;;;;;
;23;;;;;;
;34;;;;;;
;31;;;;;;
;28;;;;;;
;22;;;;;;
;4;;;;;;
;0;19;;;;;
;8;;;;;;
;19;;;;;;
;13;;;;;;
;7;;;;;;
;0;;;;;;
;8;;;;;;
;15;;;;;;
;23;22;;;;;
;29;;;;;;
;20;;;;;;
;16;;;;;;
;15;;;;;;
;10;;;;;;
;3;;;;;;
;0;;;;;;
;7;27;;;;;
;16;;;;;;
;19;;;;;;
;13;;;;;;
;7;;;;;;
04/05/2024 14:39;0;33;;;;;
10/05/2024 7:59;0;33;GO;18;SHELL;1;1
;4;;;;;;
;11;;;;;;
;17;;;;;;
;15;;;;;;
;21;;;;;;
;16;;;;;;
;15;;;;;;
;15;;;;;;
;21;;;;;;
;22;;;;;;
;18;;;;;;
;12;;;;;;
;19;;;;;;
;21;;;;;;
;19;30;;;;;
;17;;;;;;
;9;;;;;;
;14;;;;;;
;26;;;;;;
;24;;;;;;
;28;;;;;;
;24;;;;;;
;19;;;;;;
;16;;;;;;
;13;21;;;;;
;16;;;;;;
;17;;;;;;
;16;;;;;;
;10;;;;;;
;19;;;;;;
;16;;;;;;
;14;;;;;;
;25;;;;;;
;35;;;;;;
;39;;;;;;
;35;;;;;;
;32;;;;;;
;13;;;;;;
;19;;;;;;
;24;;;;;;
;24;2;;;;;
;30;;;;;;
;27;;;;;;
;22;;;;;;
;26;;;;;;
;30;;;;;;
;35;;;;;;
;36;5;;;;;
;33;;;;;;
;26;;;;;;
;15;;;;;;
;11;;;;;;
;4;;;;;;
;0;;;;;;
;7;;;;;;
;11;3;;;;;
;21;;;;;;
;26;;;;;;
;36;;;;;;
;45;;;;;;
;56;;;;;;
;61;5;;;;;
;48;;;;;;
;39;;;;;;
;27;;;;;;
;23;;;;;;
;18;;;;;;
;13;7;;;;;
;7;;;;;;
;0;;;;;;
;14;;;;;;
;26;;;;;;
;38;;;;;;
;48;;;;;;
;53;8;;;;;
;62;;;;;;
;68;;;;;;
;79;;;;;;
;81;;;;;;
;86;;;;;;
;75;;;;;;
;79;;;;;;
;81;6;;;;;
;86;;;;;;
;77;;;;;;
;76;;;;;;
;74;;;;;;
;68;;;;;;
;64;;;;;;
;56;;;;;;
;51;;;;;;
;47;8;;;;;
;38;;;;;;
;24;;;;;;
;14;;;;;;
;13;;;;;;
;19;;;;;;
;25;7;;;;;
;34;;;;;;
;29;;;;;;
;26;;;;;;
;23;;;;;;
;17;;;;;;
;24;7;;;;;
;31;;;;;;
;28;;;;;;
;25;;;;;;
;33;;;;;;
;38;;;;;;
;46;7;;;;;
;46;;;;;;
;47;;;;;;
;49;;;;;;
;48;;;;;;
;46;;;;;;
;46;;;;;;
;41;;;;;;
;42;7;;;;;
;46;;;;;;
;37;;;;;;
;31;;;;;;
;29;;;;;;
;26;;;;;;
;16;;;;;;
;5;;;;;;
;13;;;;;;
;9;;;;;;
10/05/2024 8:16;0;;;;;;
10/05/2024 13:38;0;7;RETURN;21;SHELL;1;2
;7;;;;;;
;9;;;;;;
;14;;;;;;
;28;;;;;;
;42;;;;;;
;48;;;;;;
;41;;;;;;
;39;7;;;;;
;37;;;;;;
;38;;;;;;
;30;;;;;;
;21;;;;;;
;20;;;;;;
;10;;;;;;
;6;;;;;;
;0;;;;;;
;4;7;;;;;
;10;;;;;;
;15;;;;;;
;32;;;;;;
;48;;;;;;
;56;;;;;;
;66;;;;;;
;70;;;;;;
;75;;;;;;
;80;;;;;;
;81;;;;;;
;79;8;;;;;
;77;;;;;;
;75;;;;;;
;66;;;;;;
;71;;;;;;
;71;;;;;;
;68;;;;;;
;73;;;;;;
;74;;;;;;
;79;;;;;;
;71;;;;;;
;65;;;;;;
;63;;;;;;
;62;8;;;;;
;65;;;;;;
;68;;;;;;
;69;;;;;;
;66;;;;;;
;61;;;;;;
;71;;;;;;
;78;;;;;;
;75;;;;;;
;64;8;;;;;
;61;;;;;;
;52;;;;;;
;44;;;;;;
;52;;;;;;
;60;;;;;;
;56;;;;;;
;49;;;;;;
;65;;;;;;
;74;;;;;;
;78;;;;;;
;72;;;;;;
